total_rooms,total_bedrooms,population,households
880,129,322,126
7099,1106,2401,1138
1467,190,496,177
1274,235,558,219
1627,280,565,259
919,213,413,193
2535,489,1094,514
3104,687,1157,647
2555,665,1206,595
3549,707,1551,714
2202,434,910,402
3503,752,1504,734
2491,474,1098,468
696,191,345,174
2643,626,1212,620
1120,283,697,264
1966,347,793,331
1228,293,648,303
2239,455,990,419
1503,298,690,275
751,184,409,166
1639,367,929,366
2436,541,1015,478
1688,337,853,325
2224,437,1006,422
535,123,317,119
1130,244,607,239
1898,421,1102,397
2082,492,1131,473
729,160,395,155
1916,447,863,378
2153,481,1168,441
1922,409,1026,335
1655,366,754,329
2665,574,1258,536
1215,282,570,264
1798,432,987,374
1511,390,901,403
1470,330,689,309
2432,715,1377,696
1665,419,946,395
936,311,517,249
713,202,462,189
950,202,467,198
1443,311,660,292
1656,420,718,382
1125,322,616,304
1007,312,558,253
624,195,423,160
946,375,700,352
896,453,735,438
1868,456,1061,407
3221,853,1959,720
1630,456,1162,400
1170,235,701,233
945,243,576,220
1238,288,622,259
1489,335,728,244
1387,341,1074,304
158,43,94,57
1121,211,554,187
135,29,86,23
760,190,377,122
1224,237,521,159
828,182,392,133
1010,209,604,187
1455,354,788,332
1027,244,492,147
572,109,274,82
2801,644,1823,611
768,152,392,127
935,297,582,277
844,204,560,152
12,4,18,7
835,161,290,133
1237,462,762,439
2914,562,1236,509
1207,243,721,207
1745,374,1054,325
684,176,344,155
924,289,609,289
210,56,183,56
340,97,200,87
386,164,346,155
948,184,467,169
773,143,377,115
880,451,582,380
875,348,546,330
105,42,125,39
249,78,396,85
994,392,800,362
215,87,904,88
96,31,191,34
1055,347,718,302
1715,623,1327,467
5329,2477,3469,2323
4596,1331,2048,1180
335,107,202,91
3682,1270,2024,1250
3633,1085,1838,980
4656,1414,2304,1250
5806,1603,2563,1497
854,242,389,228
2155,701,895,613
5871,1914,2689,1789
1509,225,674,244
2026,482,709,456
1758,460,686,422
3481,751,1444,718
3337,855,1520,802
1424,289,550,253
3809,1098,1806,1022
3959,1196,1749,1217
2376,559,939,519
1613,428,675,422
1279,287,534,291
5022,1750,2558,1661
4190,1105,1786,1037
2515,399,970,373
3175,454,1098,485
2576,406,794,376
334,54,98,47
2800,411,1061,403
3529,574,1177,555
2612,365,901,367
5287,1048,2031,956
2935,473,1031,479
3424,597,1358,597
4991,674,1616,654
2211,346,844,343
3038,490,1140,496
1617,210,533,194
2865,460,1072,443
5065,788,1627,766
1326,184,463,190
1589,223,542,211
1791,271,661,269
1835,264,635,263
1229,181,420,176
3770,534,1265,500
292,38,126,52
2375,333,813,350
2964,436,1067,426
2833,605,1260,552
2254,535,951,487
1389,212,510,224
1971,335,765,308
2183,465,1129,460
2286,464,1073,441
2721,541,1185,515
2024,339,756,340
2944,536,1034,521
2033,486,787,459
1433,229,612,213
2927,402,1021,380
2315,292,861,258
2485,313,953,327
1490,238,634,256
2814,365,878,352
2093,550,918,483
888,168,360,175
2087,510,1197,488
2513,502,1048,518
3232,835,1373,747
4120,1065,1715,1015
2364,792,1359,722
1471,469,1062,413
2468,864,1335,773
1632,492,1171,429
1786,526,1475,460
629,188,742,196
1339,391,1086,363
1678,606,1645,543
2344,647,1710,644
996,228,731,228
1591,373,1118,347
1586,398,1006,335
2046,588,1213,554
1192,289,772,257
1803,420,1321,401
2838,749,1487,677
783,184,488,186
1590,414,949,392
1746,480,1149,415
1252,299,844,280
